# Chinese word frequency list (word\trank), rank 1 = most frequent.
# Source: hermitdave/FrequencyWords (MIT license), https://github.com/hermitdave/FrequencyWords
# Derived from OpenSubtitles 2018 zh_cn corpus (content/2018/zh_cn/zh_cn_50k.txt).
# Filtered to entries consisting solely of CJK ideographs, deduplicated, top 8000 by frequency.
表现	956
利用	957
受伤	958
后来	959
早上好	960
精神	961
居然	962
受到	963
大学	964
那时	965
既然	966
几天	967
有时	968
米	969
总	970
一张	971
第一个	972
真相	973
恨	974
卡	975
不知	976
远	977
警官	978
属于	979
什	980
可不是	981
怪	982
一名	983
怀疑	984
笨蛋	985
战斗	986
承认	987
馬	988
法律	989
别说	990
简体	991
记录	992
见面	993
能力	994
足够	995
帶	996
瞧	997
同样	998
白痴	999
拒绝	1000
影响	1001
画	1002
其	1003
德	1004
交易	1005
回來	1006
别动	1007
管	1008
开门	1009
意味着	1010
或是	1011
美	1012
教授	1013
享受	1014
時間	1015
喝酒	1016
好多	1017
接下来	1018
開始	1019
腿	1020
走开	1021
合作	1022
女朋友	1023
好吃	1024
事件	1025
出发	1026
酒吧	1027
多么	1028
不如	1029
指	1030
客人	1031
换	1032
梦想	1033
英雄	1034
傻	1035
血	1036
扔	1037
藏	1038
杀人	1039
一会儿	1040
沒事	1041
变	1042
约	1043
行为	1044
头发	1045
适合	1046
穦	1047
恭喜	1048
上次	1049
地狱	1050
不在乎	1051
生	1052
哪个	1053
实在	1054
路上	1055
接近	1056
不准	1057
银行	1058
碰	1059
介绍	1060
一旦	1061
味道	1062
实际上	1063
感受	1064
身份	1065
意外	1066
一般	1067
吓	1068
停下	1069
意义	1070
拜	1071
来看	1072
婊子	1073
梦	1074
学习	1075
同时	1076
不起	1077
呼吸	1078
是从	1079
经历	1080
凶手	1081
目前	1082
威胁	1083
没法	1084
有时候	1085
英国	1086
男	1087
什么样	1088
老大	1089
受	1090
愚蠢	1091
算了	1092
真实	1093
婚礼	1094
在家	1095
允许	1096
军队	1097
电视	1098
一家	1099
灵魂	1100
谢	1101
如	1102
道	1103
究竟	1104
